Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your gender?,"In what year were you born? (enter 4-digit birth year; for example, 1976)",How many children do you have?,Which statement best matches your views on evolution?,Age,Gender,Household Income,Region,Device Type
10814718405,238615316,06/21/2019 01:45:30 PM,06/21/2019 01:45:58 PM,,,,,af83983b6d80ce3afd30418dcb,Other / prefer not to say,1994,1,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10814716185,238615316,06/21/2019 01:44:24 PM,06/21/2019 01:44:42 PM,,,,,2c6e778a18c2e8ffb6950971be,Female,1989,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,"$25,000-$49,999",New England,Android Phone / Tablet
10814714459,238615316,06/21/2019 01:43:05 PM,06/21/2019 01:43:44 PM,,,,,713da386594593a730c3b1b1c8,Female,1994,None,Humans and other organisms have not changed since they were created.,18-29,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
10814708217,238615316,06/21/2019 01:39:46 PM,06/21/2019 01:40:31 PM,,,,,f6a4acdd814b29ac2f53d74bfb,Female,1983,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
10814700446,238615316,06/21/2019 01:35:44 PM,06/21/2019 01:36:12 PM,,,,,4c35dbcf5cf3b308c4dd08d862,Female,1985,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Female,"$50,000-$74,999",West South Central,iOS Phone / Tablet
10814696726,238615316,06/21/2019 01:33:33 PM,06/21/2019 01:34:15 PM,,,,,5d4f4769a4de93758ab8e0f2ea,Female,1999,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,Prefer not to answer,Pacific,iOS Phone / Tablet
10814696292,238615316,06/21/2019 01:33:35 PM,06/21/2019 01:34:01 PM,,,,,6080b45e5162dff4c5bffdc1e9,Male,1985,4,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$50,000-$74,999",Mountain,Android Phone / Tablet
10814690615,238615316,06/21/2019 01:30:25 PM,06/21/2019 01:31:05 PM,,,,,a7bc5915ff67ed3876664eff1f,Female,1996,None,Humans and other organisms have not changed since they were created.,18-29,Female,"$0-$9,999",East North Central,iOS Phone / Tablet
10814689457,238615316,06/21/2019 01:29:45 PM,06/21/2019 01:30:30 PM,,,,,788d3f6266b2c6eb5e0ec2faa4,Female,1986,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Female,Prefer not to answer,Mountain,Android Phone / Tablet
10814689090,238615316,06/21/2019 01:29:38 PM,06/21/2019 01:30:19 PM,,,,,3e7d5cebd396f324f0ac04b354,Male,1999,2,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$25,000-$49,999",Mountain,Android Phone / Tablet
10814688817,238615316,06/21/2019 01:27:38 PM,06/21/2019 01:30:10 PM,,,,,f39e6bee2934941b2182051a3e,Female,1989,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,"$75,000-$99,999",New England,Android Phone / Tablet
10814685814,238615316,06/21/2019 01:27:55 PM,06/21/2019 01:28:40 PM,,,,,a307fe142015b227bd5f6f04ed,Male,1981,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
10814684352,238615316,06/21/2019 01:27:11 PM,06/21/2019 01:27:55 PM,,,,,b1d5d7f2c6b5fbaeee996d505d,Male,1994,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
10814683758,238615316,06/21/2019 01:27:00 PM,06/21/2019 01:27:37 PM,,,,,f0685631613dea3c3020b9218d,Female,2000,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,Prefer not to answer,,Android Phone / Tablet
10814678596,238615316,06/21/2019 01:24:36 PM,06/21/2019 01:25:00 PM,,,,,f03f14d2b51c206b9f2f0aaf2a,Male,1983,None,Humans and other organisms have not changed since they were created.,30-44,Male,"$0-$9,999",,Android Phone / Tablet
10814678149,238615316,06/21/2019 01:23:49 PM,06/21/2019 01:24:47 PM,,,,,13183bf4e13691e3b7fd1b958d,Female,1969,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10814675017,238615316,06/21/2019 01:22:50 PM,06/21/2019 01:23:13 PM,,,,,653290e830fd5b3689abe0fa1a,Male,1995,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Male,"$0-$9,999",East North Central,iOS Phone / Tablet
10814674739,238615316,06/21/2019 01:22:20 PM,06/21/2019 01:23:05 PM,,,,,9d6a49294b312a315506b2b9b6,Male,1999,None,Humans and other organisms have not changed since they were created.,18-29,Male,"$10,000-$24,999",Mountain,Android Phone / Tablet
10814674350,238615316,06/21/2019 01:22:01 PM,06/21/2019 01:22:53 PM,,,,,26981b150676836415a8cf42bf,Female,1964,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10814672057,238615316,06/21/2019 01:21:04 PM,06/21/2019 01:21:43 PM,,,,,8d899083904e0f6a724555227c,Male,1964,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$75,000-$99,999",West North Central,Android Phone / Tablet
10814670346,238615316,06/21/2019 01:20:24 PM,06/21/2019 01:20:50 PM,,,,,bf1defbbcae773fb88bcd104ea,Female,1983,1,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Female,"$75,000-$99,999",East South Central,iOS Phone / Tablet
10814667450,238615316,06/21/2019 01:19:02 PM,06/21/2019 01:19:21 PM,,,,,00c3fc295b5c3fb4f4d7553ae2,Female,2000,None,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10814664288,238615316,06/21/2019 01:16:42 PM,06/21/2019 01:17:46 PM,,,,,3f2cfd22958de248a1da5de1e7,Male,1984,None,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Male,"$25,000-$49,999",West South Central,iOS Phone / Tablet
10814661284,238615316,06/21/2019 01:15:45 PM,06/21/2019 01:16:17 PM,,,,,8d4c46af3ddee5fd4b8805c5c4,Female,1993,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,"$50,000-$74,999",East South Central,iOS Phone / Tablet
10814656285,238615316,06/21/2019 01:13:16 PM,06/21/2019 01:13:49 PM,,,,,fd96764c29a77cf8f679781fac,Male,1997,None,Humans and other organisms have not changed since they were created.,18-29,Male,"$175,000-$199,999",Pacific,iOS Phone / Tablet
10814646246,238615316,06/21/2019 01:08:24 PM,06/21/2019 01:08:53 PM,,,,,9df60d726fd499b71a99fb1238,Male,1954,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Male,"$200,000+",East North Central,Android Phone / Tablet
10814645773,238615316,06/21/2019 01:08:13 PM,06/21/2019 01:08:40 PM,,,,,510db8d9cee4a101ced992a736,Female,1964,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$125,000-$149,999",Middle Atlantic,iOS Phone / Tablet
10814642483,238615316,06/21/2019 01:06:35 PM,06/21/2019 01:07:09 PM,,,,,25a1d35e2aa7823d7755d457a4,Male,1987,None,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Male,"$150,000-$174,999",South Atlantic,Android Phone / Tablet
10814641164,238615316,06/21/2019 01:05:59 PM,06/21/2019 01:06:30 PM,,,,,8baa17224ca7ff52fafd8b6c14,Male,1988,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10814638688,238615316,06/21/2019 01:04:46 PM,06/21/2019 01:05:17 PM,,,,,ff49420a821e7e329e988ec8d1,Male,1984,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$0-$9,999",East North Central,Android Phone / Tablet
10814634875,238615316,06/21/2019 01:02:48 PM,06/21/2019 01:03:22 PM,,,,,c933043d594d8a9a19e742f49f,Male,1989,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10814602584,238615316,06/21/2019 12:47:33 PM,06/21/2019 12:47:56 PM,,,,,ce5022b8d022fd750a75260b6d,Male,1981,2,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Male,"$150,000-$174,999",South Atlantic,Android Phone / Tablet
10814444999,238615316,06/21/2019 11:38:17 AM,06/21/2019 11:38:45 AM,,,,,bf07a24024f8bf0458cc6c40a1,Male,1992,2,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$50,000-$74,999",West South Central,Android Phone / Tablet
10814222431,238615316,06/21/2019 10:22:17 AM,06/21/2019 10:22:59 AM,,,,,ee3f64f23743fd440b6e30742d,Female,1969,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$125,000-$149,999",Mountain,Android Phone / Tablet
10813870276,238615316,06/21/2019 08:39:17 AM,06/21/2019 08:40:18 AM,,,,,76610c8304175100b02118e511,Female,1974,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,Prefer not to answer,Mountain,iOS Phone / Tablet
10813213819,238615316,06/21/2019 04:40:49 AM,06/21/2019 04:41:27 AM,,,,,5c73a9c179f657e7317dbfefce,Male,1959,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$125,000-$149,999",New England,iOS Phone / Tablet
10812551450,238615316,06/20/2019 08:08:59 PM,06/20/2019 08:09:38 PM,,,,,cd868b5770a23b2a2bd0269c71,Female,1958,3,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
10812542198,238615316,06/20/2019 07:28:09 PM,06/20/2019 08:02:46 PM,,,,,0853723b2d3e044dabd726fa38,Male,1953,5 or more,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Male,"$175,000-$199,999",East North Central,MacOS Desktop / Laptop
10812538297,238615316,06/20/2019 07:57:40 PM,06/20/2019 07:59:31 PM,,,,,3812315b7a75d86c26e3aea448,Female,1952,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10812528018,238615316,06/20/2019 07:50:45 PM,06/20/2019 07:51:14 PM,,,,,62ca7687f4c9f6120331969bf2,Male,1954,3,Humans and other organisms have changed over time due to processes guided by God or a higher power.,> 60,Male,"$75,000-$99,999",Mountain,iOS Phone / Tablet
10812522694,238615316,06/20/2019 07:46:36 PM,06/20/2019 07:47:05 PM,,,,,498aa55b9e6851e42a3f54496f,Female,1996,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,Prefer not to answer,Pacific,iOS Phone / Tablet
10812512609,238615316,06/20/2019 07:38:47 PM,06/20/2019 07:39:22 PM,,,,,1368cbee27d7d0e3505d9f3549,Female,1965,1,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
10812499176,238615316,06/20/2019 07:28:03 PM,06/20/2019 07:28:34 PM,,,,,dc4a5b571964ca85d67f610bad,Male,1970,3,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10812470482,238615316,06/20/2019 07:06:27 PM,06/20/2019 07:07:02 PM,,,,,d527fb128430d7b054b618eeaa,Male,1969,2,Humans and other organisms have not changed since they were created.,45-60,Male,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10812463149,238615316,06/20/2019 07:00:56 PM,06/20/2019 07:01:42 PM,,,,,f9cee9722055226dc161a48ab9,Female,1967,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Female,"$25,000-$49,999",Mountain,iOS Phone / Tablet
10812463088,238615316,06/20/2019 07:00:52 PM,06/20/2019 07:01:39 PM,,,,,85fc06ee3904a30de66fabf73f,Female,1967,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,Prefer not to answer,East South Central,iOS Phone / Tablet
10812440691,238615316,06/20/2019 06:43:24 PM,06/20/2019 06:45:13 PM,,,,,c2095654a86856c41e84e48832,Male,1946,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Male,"$125,000-$149,999",South Atlantic,MacOS Desktop / Laptop
10812436605,238615316,06/20/2019 06:41:54 PM,06/20/2019 06:42:20 PM,,,,,362cd91c49900a6287724dbdd0,Female,1955,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,Prefer not to answer,Middle Atlantic,Android Phone / Tablet
10812427919,238615316,06/20/2019 06:35:35 PM,06/20/2019 06:36:07 PM,,,,,10edb31283cf03f59617187399,Female,1978,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
10812427691,238615316,06/20/2019 06:35:36 PM,06/20/2019 06:35:57 PM,,,,,a1571aecdcd5b5e9933796689e,Female,1995,None,Humans and other organisms have changed over time due to processes guided by God or a higher power.,18-29,Female,"$0-$9,999",Pacific,iOS Phone / Tablet
10812406919,238615316,06/20/2019 06:21:00 PM,06/20/2019 06:21:24 PM,,,,,3cc4819ccaa0582028b4390549,Male,1978,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,30-44,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10812383243,238615316,06/20/2019 06:04:02 PM,06/20/2019 06:04:33 PM,,,,,21286942a807db6fb59bf83981,Female,1969,1,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$50,000-$74,999",Mountain,iOS Phone / Tablet
10812383239,238615316,06/20/2019 06:04:04 PM,06/20/2019 06:04:32 PM,,,,,63b30cbd019342ff725c24289b,Female,1947,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10812376896,238615316,06/20/2019 05:59:31 PM,06/20/2019 06:00:06 PM,,,,,4f15c0769edb8d0c80996b1ac3,Male,1955,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Male,"$75,000-$99,999",East South Central,Windows Desktop / Laptop
10812356545,238615316,06/20/2019 05:45:05 PM,06/20/2019 05:45:45 PM,,,,,e12043ad65e66f7cd31568cc14,Female,1961,3,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$75,000-$99,999",New England,MacOS Desktop / Laptop
10812342756,238615316,06/20/2019 05:35:34 PM,06/20/2019 05:36:10 PM,,,,,a2098f2739d57ea409d20f622d,Male,1964,3,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Male,"$125,000-$149,999",Mountain,Android Phone / Tablet
10812329032,238615316,06/20/2019 05:26:13 PM,06/20/2019 05:26:57 PM,,,,,d48df876fe539f73f75a6822bb,Female,1953,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
10812289117,238615316,06/20/2019 05:13:10 PM,06/20/2019 05:13:46 PM,,,,,526d32a0781e87c5429ee53d03,Male,1947,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Male,"$75,000-$99,999",Pacific,Windows Desktop / Laptop
10812276863,238615316,06/20/2019 05:07:17 PM,06/20/2019 05:08:06 PM,,,,,fa75c5ad3870ea9c5c24df2dab,Female,1973,2,Humans and other organisms have changed over time due to processes guided by God or a higher power.,45-60,Female,"$10,000-$24,999",East South Central,iOS Phone / Tablet
10812274700,238615316,06/20/2019 05:06:24 PM,06/20/2019 05:06:45 PM,,,,,055071a2e102be932b74f61cff,Male,1996,2,Humans and other organisms have changed over time through evolution by natural selection.,18-29,Male,"$0-$9,999",Pacific,iOS Phone / Tablet
10812229277,238615316,06/20/2019 04:51:29 PM,06/20/2019 04:51:54 PM,,,,,eb5996fa9e2979fab476795781,Female,1957,2,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$100,000-$124,999",West South Central,iOS Phone / Tablet
10812228269,238615316,06/20/2019 04:50:38 PM,06/20/2019 04:51:14 PM,,,,,840420a7cd91968f3d18c08d89,Male,1973,2,Humans and other organisms have changed over time through evolution by natural selection.,45-60,Male,"$50,000-$74,999",East North Central,iOS Phone / Tablet
10812203602,238615316,06/20/2019 04:35:50 PM,06/20/2019 04:36:11 PM,,,,,1dd6fe5bfd512cf32bb1420c4a,Male,1993,None,Humans and other organisms have not changed since they were created.,18-29,Male,"$75,000-$99,999",West North Central,iOS Phone / Tablet
10812203583,238615316,06/20/2019 04:35:40 PM,06/20/2019 04:36:11 PM,,,,,e783ca756895c0deb4cd3a6e10,Male,1977,2,Humans and other organisms have changed over time through evolution by natural selection.,30-44,Male,"$75,000-$99,999",New England,iOS Phone / Tablet
10812192640,238615316,06/20/2019 04:29:17 PM,06/20/2019 04:29:51 PM,,,,,02c066002e3a00efc1673a333a,Female,1956,None,Humans and other organisms have changed over time through evolution by natural selection.,> 60,Female,"$75,000-$99,999",West South Central,Android Phone / Tablet
10812191959,238615316,06/20/2019 04:28:23 PM,06/20/2019 04:29:25 PM,,,,,8d4ca2c0960c6861ed3f0810bf,Male,1953,None,,> 60,Male,"$200,000+",South Atlantic,iOS Phone / Tablet
